Timestamp,EventID,EventName,Section,Row,Seats,Qty,TotalPrice,ListPrice,FaceValue,Currency,TotalFees,Type,SellerNotes,OfferID,ListingID
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","106","22","9-10","2","325.35","270","270","CAD","55.35","resale","","GN6DCMBUGA3TGMBSHE4XYMJXGY3TONBSMY4DK","1040730299"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","104","25","18-19","2","268.72","223","223","CAD","45.72","resale","","GN6DCMBUGAYDGMBZGE4XYMJXGM3TSNJUGUZDK","1040030919"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","107","13","13-14","2","662.75","550","550","CAD","112.75","resale","","GN6DCMBUGE3DAMRWHEZXYMJXGRQTCMZYGVRTK","1041602693"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","104","27","12-13","2","192.8","160","160","CAD","32.80","resale","","GN6DCMBUGI3TEMZWGUYXYMJXGY2TCMJUMY2TK","1042723651"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","102","22","10-11","2","361.5","300","300","CAD","61.50","resale","","GN6DCMBUGI3TGOBXGA3XYMJWMRSTGM3EGE4TK","1042738707"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","317","11","13-15","3","156.65","130","130","CAD","26.65","resale","","GN6DCMBUGIZTKOJYG44XYMJWMRSTEZTFHEZTK","1042359879"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","107","21","15-16","2","468.75","389","389","CAD","79.75","resale","","GN6DCMBUGM3TENZUHAYXYMJXGRSDOYRRGEZDK","1043727481"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","107M","25","19-20","2","421.75","350","350","CAD","71.75","resale","","GN6DCMBUGM4DAMRZGE4XYMJXGY3GCMLDHE4DK","1043802919"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","113","12","15-16","2","359.09","298","298","CAD","61.09","resale","","GN6DCMBUGM4DGMJTGM3HYMJWMRSTKMRRGEZDK","1043831336"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","105","28","16-17","2","401.27","333","333","CAD","68.27","resale","","GN6DCMBUGM4DMNRZGI4XYMJWMRSTGMTFMM4TK","1043866929"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","302","3","7-10","4","138.58","115","115","CAD","23.58","resale","","GN6DCMBUGQ2TONJUGM4XYMJXGQ4TIZJRGUZDK","1044575439"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","309","11","18-19","2","241","200","200","CAD","41.00","resale","","GN6DCMBUGQZDINZZGI3XYMJWMRSTEM3CGEYTK","1044247927"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","310","6","5-6","2","178.34","148","148","CAD","30.34","resale","","GN6DCMBUGQZDKMJTGE2XYMJXGY3DENJXGMZDK","1044251315"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","110","19","9-12","4","330.17","274","274","CAD","56.17","resale","","GN6DCMBUGU2DGMJYGUYXYMJXGY3GKNDGMNTDK","1045431851"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","309","14","12-19","8","280.77","233","233","CAD","47.77","resale","","GN6DCMBUGUYTQMJWGAYHYMJXGQ3DKYJWGA3TK","1045181600"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","312","18","4-7","4","259.08","215","215","CAD","44.08","resale","","GN6DCMBUGUYTSMJXGYZXYMJWMRSTEM3CGEZDK","1045191763"
